scale,domain,manip,plurality,sent1,sent2
<love like>,sports,upper,sing,She liked the player,She loved the player
<love like>,sports,full,sing,She liked but didn't love the player,She loved the player
<love like>,weather,lower,sing,She liked the weekend,She liked but didn't love the weekend
<love like>,weather,upper,sing,She liked the weekend,She loved the weekend
<love like>,weather,full,sing,She liked but didn't love the weekend,She loved the weekend
<love like>,clothes,lower,sing,She liked the shirt,She liked but didn't love the shirt
<love like>,clothes,upper,sing,She liked the shirt,She loved the shirt
<love like>,clothes,full,sing,She liked but didn't love the shirt,She loved the shirt
<love like>,students,lower,sing,She liked the student,She liked but didn't love the student
<love like>,students,upper,sing,She liked the student,She loved the student
<love like>,students,full,sing,She liked but didn't love the student,She loved the student
